No.,NCD,CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS,,,
54,5,5,,,,S,4371041906,"1722 N. Calgary Lane Los Angeles, CA",7772,Yes,RE40-1,Vacant hillside lot,Tax Deed,5000,15000,Dense brush prevents conventional access to,,,
55,5,5,,,,S,4371046900,"10328 W. Caribou Lane Los Angeles, CA 90077",2520,Yes,RE40-1,Vacant hillside lot,Tax Deed,5000,5000,Dense brush prevents conventional access to property,,,
56,5,5,,,,S,4377013900,"2081 N. Roscomare Rd. Los Angeles, CA 90077",14294,Yes,RE15-1-,Vacant hillside lot,Tax Deed,500000,500000,,,,
57,5,5,,,,S,4378014900,Roscomare Rd./Hamner Dr.,15254,No,RE15-1-,Vacant hillside lot,Tax Deed,150000,100000,,,,
58,5,5,,,,S,4379003905,Bushrod Ln./Manasquan Ln.,10111,Yes,[Q]OS-1,Vacant hillside lot,Tax Deed,100000,10000,,,,
59,5,5,,,,S,4379004907,Latimer Ln./Manasquan Ln.,5001,Yes,A1-1,Vacant hillside lot,Tax Deed,50000,5000,SMMC reserved parcel,,,
60,5,5,,,,S,4379004910,Latimer Ln./Manasquan Ln.,12477,Yes,RE40-1-,Vacant hillside lot,Tax Deed,125000,25000,,,,
61,5,5,,,,S,4379004912,Latimer Ln./Louvan Ln.,7496,Yes,RE40-1-,Vacant hillside lot,Tax Deed,75000,50000,,,,
62,5,5,,,,S,4379004914,Latimer Ln./Louvan Ln.,5432,Yes,RE40-1-,Vacant hillside lot,Tax Deed,54000,10000,,,,
63,5,5,,,,S,4379004915,Basil Ln./Louvan Ln.,2499,Yes,RE40-1-,Vacant hillside lot,Tax Deed,250000,20000,,,,
64,5,5,,,,S,4379006902,Latimer Ln./Manasquan Ln.,2490,Yes,RE40-1-,Vacant hillside lot,Tax Deed,25000,5000,,,,
65,5,5,,,,S,4379013903,Ridgetop Ln./Pointer Ln.,34547,Yes,RE40-1-,Vacant hillside lot,Tax Deed,50000,100000,Dense Brush prevents conventional access,,,
66,5,5,,,,S,4379015903,Bushrod Ln./Bonpas Ln.,12927,Yes,A1-1,Vacant hillside lot,Tax Deed,15000,15000,Dense Brush prevents conventional access,,,
67,5,5,,,,S,4379015907,Pointer Ln./Bonpas Ln.,16125,Yes,RE40-1-,Vacant hillside lot,Tax Deed,15000,30000,Transfer of Jurisdiction to DWP,,,
68,5,5,,,,S,4379020902,Bushrod Ln./Devore Ln.,2588,Yes,RE40-1-,Vacant hillside lot,Tax Deed,5000,5000,Transfer of Jurisdiction to DWP,,,
69,5,5,,,,S,4379020903,Bushrod Ln./Devore Ln.,5176,Yes,A1-1,Vacant hillside lot,Tax Deed,5000,5000,Transfer of Jurisdiction to DWP,,,
70,5,5,,,,S,4380003900,"2312 N. Dellwood Lane Los Angeles, CA 90077",2643,Yes,RE15-1,Vacant hillside lot,Tax Deed,5000,5000,Dense Brush prevents conventional access,,,
71,5,5,,,,S,4380006900,"2247 N. Elk Lane Los Angeles, CA",2691,Yes,RE40-1,Vacant hillside lot,Tax Deed,2500,5000,Dense Brush prevents conventional access,,,
72,5,5,,,,S,4380009900,"10587 W. Scenario Lane Los Angeles, CA 90077",2515,Yes,RE15-1,Vacant hillside lot,Tax Deed,2500,15000,Dense Brush prevents conventional access,,,
73,5,5,,,,S,4380016900,"2038 N. Dellwood Lane Los Angeles, CA 90077",8099,Yes,RE15-1,Vacant hillside lot,Tax Deed,7500,15000,Dense brush prevents conventional access to property,,,
74,5,5,,,,S,4380019900,"1910 N. Dellwood Lane Los Angeles, CA 90077",2669,Yes,RE15-1,Vacant hillside lot,Tax Deed,5000,5000,Dense brush prevents conventional access to property,,,
75,5,5,,,,S,4380021900,"1948 N. Sprucewood Lane Los Angeles, CA 90077",45391,Yes,RE40-1,Vacant hillside lot,Tax Deed,30000,80000,Dense brush prevents conventional access to property,,,
76,5,5,,,,S,4380021902,"10222 W. Ortiz Lane Los Angeles, CA",10072,Yes,RE40-1-,Vacant hillside lot,Tax Deed,15000,20000,Dense brush prevents conventional access to,,,
77,5,5,,,,S,4380022900,"1917 N. Sprucewood Lane Los Angeles, CA 90077",2709,Yes,RE15-1,Vacant hillside lot,Tax Deed,5000,5000,Dense brush prevents conventional access to property,,,
78,5,5,,,,S,4380028900,"2164 N. Pointer Lane Los Angeles, CA",2631,No,RE40-1,Vacant hillside lot,Tax Deed,5000,5000,Residents block property access,,,
79,5,5,,,,S,4380031901,"2329 N. Latimer Lane Los Angeles, CA",15600,Yes,RE40-1,Vacant hillside lot,Tax Deed,5000,100000,,,,
80,5,5,,,,S,4380032900,"2353 N. Basil Lane Los Angeles, CA",41493,Yes,RE40-1,Vacant hillside lot,Tax Deed,30000,100000,,,,
81,5,5,,,,S,4382029900,Beverly Glen Blvd./Basil Ln.,612492,Yes,OS-1XL,Vacant hillside lot,Tax Deed,100000,500000,SMMC reserved parcel,,,
82,5,5,,,,S,,DWP Stone Canyon Resevoir,,,,,,,35000,Transfer of Jurisdiction to DWP,,,
83,5,5,,X,,,2258016901,"5001 Balboa Blvd., Encino",15943,Yes,,Old Firestation #83,Fire,,1700000,RAP reserved for extension of Encino Park Settlement; prior approval for sale required for CA & government & Council,,,
84,5,5,,,,,4369007900,11381 Chalon Rd.,,,,Single Family Res.,,,,Settlement; prior approval for sale required for CA & government & Council,,,
85,5,5,,,,,4357015901,11080 Cielo Drive,,,,Vacant lot,,,,Settlement; prior approval for sale required for CA & government & Council,,,
86,5,5,,,,,4384033900,9509 High Ridge,,,,Vacant lot,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"1,491,140.00","$4,582,000.00","$6,690,000.00",,,,,,,,,,,,,,,,
TOTAL LAHD RESERVED,0.00,,,,,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"15,943.00",,,,,,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,0.00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,"1,491,140.00",,,,,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,"$4,582,000.00",,,,,,,,,,,,,,,,,,
