LOCATION ADDRESS,PERMIT TYPE,FILMING DAYS
"10000 Riverside Dr, North Hollywood, CA, 91602",Filming,4
"10004 National Blvd, Los Angeles, CA, 90034",Filming,1
"10008 National Blvd, Los Angeles, CA, 90034",Filming,1
"10009 Terhune Ave, Los Angeles, CA, 91040",Filming,9
"1001 Bel Air Rd, Los Angeles, CA, 90077",Still,4
"1001 E 27th St, Los Angeles, CA, 90011",Filming,1
"1001 N Highland Ave, Los Angeles, CA, 90038",Filming,1
"1001 S Olive St, Los Angeles, CA, 90015",Filming,1
"1001 S Olive St, Los Angeles, CA, 90015",Still,1
"1001 S. Soto St, Los Angeles, CA, 90023",Still,2
"1001 Venice Blvd, Venice, CA, 90291",Filming,2
"1001 Venice Blvd, Venice, CA, 90291",Still,2
"1001 W 15th St, Los Angeles, CA, 90731",Filming,10
"10010 Riverside Dr, San Fernando Valley, CA, 91602",Filming,3
"10011 CHEVIOT HILLS, LOS ANGELES, CA, 90064",Filming,1
"10021 Cheviot Dr, Los Angeles, CA, 90064",Filming,2
"10027 Lurline Ave, Los Angeles, CA, 91311",Filming,10
"1003 Everett St - 1001 Everett St, Los Angeles, CA, 90026",Filming,1
"1003 S Ridgeley Dr, Los Angeles, CA, 90036",Filming,1
"1004 W C St, Los Angeles, CA, 90744",Still,1
"100-400 block of S. Bristol Ave, Los Angeles, CA, 90049",Filming,1
"10042 Claire Ave, Northridge, CA, 91324",Filming,5
"10045 Riverside Dr, Los Angeles, CA, 91602",Filming,1
"1005 Chick Hearn Ct, Los Angeles, CA, 90015",Filming,1
"10050 Larwin Ave, Los Angeles, CA, 91311",Filming,6
"10050 Riverside Dr, North Hollywood, CA, 91602",Filming,1
"10057 Roscoe Blvd, Los Angeles, CA, 91352",Filming,7
"1006 S Olive St, Los Angeles, CA, 90015",Filming,2
"1006 S Olive St, Los Angeles, CA, 90015",Still,1
"10061 Riverside Dr, North Hollywood, CA, 91602",Filming,3
"1007 Sandwood Pl, Los Angeles, CA, 90731",Filming,2
"1008 Electric Ave, Los Angeles, CA, 90291",Filming,2
"1009 Abbot Kinney Blvd, Venice, CA, 90291",Filming,1
"1009 Broxton Ave, Los Angeles, CA, 90024",Filming,1
"1009 Marview Ave, Los Angeles, CA, 90012",Filming,1
"101 Bridewell St, Los Angeles, CA, 90042",Filming,3
"101 Freeway, 105 Freeway, Pacific Coast Hwy, 5 Freeway, Los Angeles, CA, 90028",Filming,1
"101 Freeway, 6th Street, Hoover Street, Wilshire Blvd. Inclusive Los Angeles, CA, 90057",Filming,1
"101 Freeway, N Benton Way, Scott Avenue, Douglas Street (inclusive, excluding freeways), Los Angeles, CA, 90026",Filming,1
"101 FREEWAY-ALAMEDA ST.-10 FREEWAY-110 FREEWAY, LOS ANGELES, CA",Filming,1
"101 Frwy, 110 Frwy, 10 Frwy, S Western Ave, Inclusive (Excluding State Freeways/Highways, West Adams Districts and Hancock Park/Windsor Square), Los Angeles, CA, 90004",Filming,2
"101 Frwy, 5 Frwy, 10 Frwy, Alameda Inclusive (Excluding Freeways), Los Angeles, CA, 90017",Still,4
"101 frwy., 10 fwy., 405 frwy., inclusive (Excluding State freeways/highways, Arts District, Colfax Meadows, Hancock Park/Windosr Square, Cities of Beverly Hills, Burbank, & West Hollywood), Los Angeles, CA, 91604",Filming,1
"101 frwy., 110 frwy., 10 frwy., 405 frwy, Los Angeles, CA, 90028",Still,2
"101 frwy., 110 frwy., 10 frwy., 405 frwy., inclusive (Excluding State freeways/highways, Hancock Park, Windsor Square, Colfax Meadows, Bel Air Estates, and Cities of Beverly Hills and West Hollywood), Los Angeles, CA, 90028",Filming,4
"101 frwy., 110 frwy., 10 frwy., N Vermont Ave., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90017",Filming,2
"101 frwy., 110 frwy., 10 frwy., S Hoover St., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90006",Filming,2
"101 frwy., 110 frwy., 10 frwy., S Hoover St., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90006",Still,1
"101 frwy., 110 frwy., 10 frwy., S Vermont Ave., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90006",Filming,1
"101 frwy., 110 frwy., 10 frwy., S Western Av., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90017",Filming,1
"101 frwy., 110 frwy., 10 frwy., S Western Ave., inclusive (Excluding State freeways/highways and West Adams Districts), Los Angeles, CA 90020",Filming,3
"101 frwy., 110 frwy., W Adams Blvd., S Western Ave., inclusive (Excluding State freeways/highways and West Adams/Sugar Hill area), Los Angeles, CA 90020",Filming,8
"101 frwy., 110 frwy., W Jefferson Blvd., S Normandie Ave., inclusive (Excluding STate freeways/highways), Los Angeles, CA, 90046",Filming,1
"101 frwy., 110 frwy., W Pico Blvd., S Alvarado St., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90017",Still,3
"101 frwy., 5 frwy., 10 frwy., 110 frwy., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90021, Los Angeles, CA, 90021",Filming,17
"101 frwy., 5 frwy., 10 frwy., 110 frwy., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90021, Los Angeles, CA, 90021",Still,6
"101 frwy., 5 frwy., 10 frwy., 405 frwy., inclusive (Excluding State freeways/highways, Cities of Burbank, West Hollywood, Beverly Hills), Los Angeles, CA, 90012",Filming,1
"101 frwy., 5 frwy., 10 frwy., Los Angeles River, inclusive (Excluding State freeways/highways and Los Angeles River), Los Angeles, CA, 90013",Filming,4
"101 frwy., 5 frwy., 10 frwy., Los Angeles River, inclusive (Excluding State freeways/highways and Los Angeles River), Los Angeles, CA, 90013",Still,4
"101 frwy., 5 frwy., 10 frwy., Los Angeles River, inclusive (Excluding State freeways/highways and Los Angeles River), Los Angeles, CA, 90023",Still,1
"101 frwy., 5 frwy., 10 frwy., Los Angeles River, inclusive (Excluding State freeways/highways and Los Angeles River), Los Angeles, CA, 90033",Still,1
"101 frwy., 5 frwy., 10 frwy., Los Angeles River, inclusive (Excluding State freeways/highways, Los Angeles River, Arts District), Los Angeles, CA, 90033",Filming,3
"101 frwy., 5 frwy., 10 frwy., S Alameda St., inclusive (Excluding State freeways/highways and Arts District), Los Angeles, CA, 90021",Filming,1
"101 frwy., 5 frwy., 10 frwy., S Alameda St., inclusive (Excluding State freeways/highways and Arts District), Los Angeles, CA, 90021",Still,6
"101 frwy., 5 frwy., 7th St., Los Angeles River, inclusive (Excluding State freeways/highways and Los Angeles River), Los Angeles, CA, 90033",Filming,3
"101 frwy., 5 frwy., E 1st St., S Alameda St, inclusive (Excluding State freeways/highways), Los Angeles, CA, 90012",Filming,1
"101 frwy., Alameda St., 10 frwy., 101 frwy., Inclusive (exlcuding freeways and LA River Bed), Los Angeles, CA, 90013",Filming,3
"101 frwy., E 1st St., S Alameda St., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90012",Filming,3
"101 frwy., Hollywood Blvd., Laurel Canyon Blvd., inclusive (Excluding State freeways/highways and Woods Dr/Crescent Heights), Los Angeles, CA, 90046",Filming,3
"101 frwy., Normandie Ave., 10 Frwy., 110 Frwy., Los Angeles, CA, 90004",Filming,3
"101 frwy., S Alameda St, 10 frwy., 110 frwy., inclusive (Excluding State freeways/highways, The OLD BANK DISTRICT and City Parks), Los Angeles, CA, 90014",Filming,839
"101 frwy., S Alameda St, 10 frwy., 110 frwy., inclusive (Excluding State freeways/highways, The OLD BANK DISTRICT and City Parks), Los Angeles, CA, 90014",Still,955
"101 FRWY., S. ALAMEDA ST., 10 FRWY., 110 FRWY., INCLUSIVE (Excluding State Freeways/Highways, Arts District, and City Parks). , Los Angeles, 90014",Still,1
"101 Fwy,  110 Fwy, Venice Blvd, S Alvarado St, Inclusive, excluding State Freeways, Highways, Parks), Los Angeles, CA, 90017",Still,3
"101 Fwy, 10 Fwy, 5 Fwy, Alvarado St, (Inclusive, excluding State Hwys) Los Angeles, CA, 90039",Still,3
"101 Fwy, 10 Fwy, 5 Fwy, Stadium Way, LOS ANGELES, CA, 90012",Filming,1
"101 Fwy, 10 Fwy, Alameda St (Inclusive, excluding State Hwys), Los Angeles, 90033",Still,1
"101 FWY, 10 FWY, LA RIVER (INCLUSIVE, EXCLUDING LA RIVER, FREEWAYS AND ARTS DISTRICT), Los Angeles, CA, 90033",Still,4
"101 FWY, 10 FWY., LA RIVERBED., 5 FWY., LOS ANGELES, 90013",Still,2
"101 FWY, 110 FWY, 10 FWY, & ALAMEDA ST, INCLUSIVE (EXCLUDING FREEWAYS), LOS ANGELES, CA, 90017",Filming,3
"101 Fwy, 110 Fwy, 10 Fwy, 405 Fwy (Inclusive, excluding State Hwys, City of Beverly Hills, City of West Hollywood), Los Angeles, CA, 90004",Filming,7
"101 FWY, 110 FWY, 10 FWY, 5 FWY (EXCLUDING LA RIVER, FREEWAYS), LOS ANGELES, CA, 90014",Still,1
"101 FWY, 110 FWY, 10 FWY, 5 FWY Inclusive (Excludes Fwy/Hwys, Old Bank District, Arts District, Chinatown, All Special Condition Areas), los angeles, CA, 90017",Filming,2
"101 FWY, 110 FWY, 10 FWY, 5 FWY Inclusive (Excludes Fwy/Hwys, Old Bank District, Arts District, Chinatown, All Special Condition Areas), los angeles, CA, 90017",Still,1
"101 Fwy, 110 Fwy, 10 Fwy, 5 Fwy. inclusive. (excludes the Arts District and Freeways), Los Angeles , CA, 90017",Filming,1
"101 Fwy, 110 Fwy, 10 Fwy, Alameda Ave, (Inclusive, excluding State Freeways, Highways and Parks), Los Angeles , CA, 90017",Filming,1
"101 Fwy, 110 Fwy, 10 Fwy, Highland Av. (Inclusive, excluding State Hwys, Hancock Park & Windsor Square), Los Angeles, CA, 90018",Filming,6
"101 FWY, 110 FWY, 10 FWY, VERMONT AV (INCLUSIVE, EXCLUDING FREEWAYS), LOS ANGELES, CA, 90057",Filming,1
"101 Fwy, 110 Fwy, 5 Fwy, Los Feliz Blvd, Vermont Ave inclusive (EXCLUDING FREEWAYS, Park Property, Echo Park Area, Special Conditioned Areas ), Los Angeles, CA, 90026 , Los Angeles, CA, 90026",Filming,2
"101 Fwy, 110 Fwy, 5 Fwy, Los Feliz Blvd, Vermont Ave inclusive (EXCLUDING FREEWAYS, Park Property, Echo Park Area, Special Conditioned Areas ), Los Angeles, CA, 90026 , Los Angeles, CA, 90026",Still,4
"101 FWY, 110 FWY, ALVARADO ST, OLYMPIC BL (INCLUSIVE, EXCLUDING FREEWAYS), LOS ANGELES, CA, 90057",Still,1
"101 FWY, 110 FWY, LA RIVER 10 FWY (INCLUSIVE, EXCLUDING ARTS DISTRICT AND FREEWAYS), LOS ANGELES, CA, 90014",Filming,1
"101 Fwy, 134 Fwy, 5 Fwy, Los Feliz Bl. (INCLUSIVE)(EXCLUDING FREEWAYS & INCOPORATED CITIES), Los Angeles, CA, 90039",Filming,3
